word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,fixation.started,key_resp.started,text.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,text.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
BLUE,blue,C,b,6,7,55,5,,386.5151834000135,386.5151834000135,387.0153388000326,387.0153388000326,b,1,2.205025899980683,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,blue,C,b,7,0,56,5,,388.7504333999823,388.7504333999823,389.2488922000048,389.26537859998643,b,1,1.0493015999672934,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,7,1,57,2,,389.8318652000162,389.8318652000162,390.33181980001973,390.33181980001973,r,1,2.8521798999863677,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,7,2,58,6,,392.7153410000028,392.7153410000028,393.2155086999992,393.2155086999992,p,1,1.2184452000074089,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,7,3,59,7,,393.9653150999802,393.9653150999802,394.4654099000036,394.4654099000036,b,1,1.30162060004659,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,7,4,60,3,,395.298391600023,395.298391600023,395.79861559998244,395.79861559998244,o,1,1.2001703000278212,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,7,5,61,0,,396.5152506000013,396.5152506000013,397.01539559999947,397.01539559999947,r,1,1.611589099979028,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,7,6,62,4,,398.1486032999819,398.1486032999819,398.64868879999267,398.64868879999267,b,0,1.5540494000306353,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,7,7,63,1,,399.7320066000102,399.7320066000102,400.2322814000072,400.2322814000072,o,1,3.366707300010603,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,red,I,r,8,0,64,2,,403.1157253999845,403.1157253999845,403.6154225000064,403.6154225000064,r,1,1.7445681000244804,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,purple,I,p,8,1,65,4,,404.88219319999916,404.88219319999916,405.3822777000023,405.3822777000023,p,1,1.5951458999770693,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,blue,I,b,8,2,66,7,,406.49914040003205,406.49914040003205,406.99876079999376,406.99876079999376,b,1,1.3018700000247918,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
ORANGE,orange,C,o,8,3,67,3,,407.8154208000051,407.8154208000051,408.31564240000444,408.31564240000444,o,1,2.026261599967256,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,red,C,r,8,4,68,0,,409.86538380000275,409.86538380000275,410.3655515999999,410.3655515999999,r,1,1.358861299988348,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
BLUE,blue,C,b,8,5,69,5,,411.2487268000259,411.2487268000259,411.7490464000148,411.7490464000148,b,1,2.2861200000043027,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
PURPLE,purple,C,p,8,6,70,6,,413.56574280001223,413.56574280001223,414.0655233000289,414.0655233000289,p,1,0.9875170000013895,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
RED,orange,I,o,8,7,71,1,,414.5821161000058,414.5821161000058,415.0821021000156,415.0821021000156,o,1,1.5116019999841228,,,,Jemima,001,2022-10-10_13h22.29.978,stroop task,2022.2.4,59.958796322507624,
